issue_date,issue_hour,window_position,absolute_date,absolute_t,pv_formal_kwh,pv_historical_kwh,actual_pv_kwh,error_formal_kwh,error_historical_kwh
2025-01-20,6,69,2025-01-20,105,10.579425,0.0,0.0,-10.579425,0.0
2025-01-20,6,70,2025-01-20,106,10.579425,0.20190695187165777,0.22996666666666665,-10.349458333333335,0.028059714795008878
2025-01-20,6,71,2025-01-20,107,10.579425,0.0,0.0,-10.579425,0.0
2025-01-20,6,72,2025-01-20,108,10.579425,0.0,0.0,-10.579425,0.0
2025-01-20,6,73,2025-01-20,109,0.0,0.014496524064171122,0.016516666666666666,0.016516666666666666,0.002020142602495544
2025-01-20,6,74,2025-01-20,110,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,75,2025-01-20,111,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,76,2025-01-20,112,0.0,0.001037344028520499,0.0011833333333333333,0.0011833333333333333,0.00014598930481283428
2025-01-20,6,77,2025-01-20,113,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,78,2025-01-20,114,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,79,2025-01-20,115,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,80,2025-01-20,116,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,81,2025-01-20,117,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,82,2025-01-20,118,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,83,2025-01-20,119,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,84,2025-01-20,120,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,85,2025-01-20,121,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,86,2025-01-20,122,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,87,2025-01-20,123,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,88,2025-01-20,124,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,89,2025-01-20,125,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,90,2025-01-20,126,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,91,2025-01-20,127,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,92,2025-01-20,128,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,93,2025-01-20,129,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,94,2025-01-20,130,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,95,2025-01-20,131,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,96,2025-01-20,132,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,97,2025-01-20,133,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,98,2025-01-20,134,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,99,2025-01-20,135,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,100,2025-01-20,136,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,101,2025-01-20,137,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,102,2025-01-20,138,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,103,2025-01-20,139,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,104,2025-01-20,140,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,105,2025-01-20,141,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,106,2025-01-20,142,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,107,2025-01-20,143,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,108,2025-01-20,144,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,109,2025-01-21,1,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,110,2025-01-21,2,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,111,2025-01-21,3,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,112,2025-01-21,4,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,113,2025-01-21,5,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,114,2025-01-21,6,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,115,2025-01-21,7,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,116,2025-01-21,8,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,117,2025-01-21,9,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,118,2025-01-21,10,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,119,2025-01-21,11,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,120,2025-01-21,12,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,121,2025-01-21,13,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,122,2025-01-21,14,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,123,2025-01-21,15,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,124,2025-01-21,16,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,125,2025-01-21,17,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,126,2025-01-21,18,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,127,2025-01-21,19,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,128,2025-01-21,20,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,129,2025-01-21,21,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,130,2025-01-21,22,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,131,2025-01-21,23,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,132,2025-01-21,24,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,133,2025-01-21,25,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,134,2025-01-21,26,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,135,2025-01-21,27,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,136,2025-01-21,28,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,137,2025-01-21,29,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,138,2025-01-21,30,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,139,2025-01-21,31,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,140,2025-01-21,32,0.0,0.0010941245029480323,0.0012833333333333334,0.0012833333333333334,0.00018920883038530106
2025-01-20,6,141,2025-01-21,33,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,142,2025-01-21,34,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,143,2025-01-21,35,0.0,0.015290175510763747,0.017866666666666666,0.017866666666666666,0.0025764911559029192
2025-01-20,6,144,2025-01-21,36,0.0,0.0,0.0,0.0,0.0
2025-01-20,12,1,2025-01-20,73,1053.4206833333333,1001.7416508912656,1059.4625833333332,6.041899999999941,57.72093244206758
2025-01-20,12,2,2025-01-20,74,1053.4206833333333,1003.348361942959,1019.1896499999999,-34.23103333333336,15.84128805704097
2025-01-20,12,3,2025-01-20,75,1053.4206833333333,1006.4609959893048,1017.2749999999999,-36.14568333333341,10.814004010695044
